Date	Close
18/05/2019	72
18/05/2019	62
18/05/2019	86
20/05/2019	95
20/05/2019	37
20/05/2019	47
20/05/2019	46
21/05/2019	19
21/05/2019	66
21/05/2019	20
21/05/2019	56
22/05/2019	89
22/05/2019	81
22/05/2019	27
22/05/2019	21
23/05/2019	63
23/05/2019	53
23/05/2019	65
23/05/2019	28
24/05/2019	91
24/05/2019	15
24/05/2019	23
24/05/2019	96
25/05/2019	16
25/05/2019	95
25/05/2019	01
27/05/2019	54
27/05/2019	60
27/05/2019	97
27/05/2019	69
28/05/2019	66
28/05/2019	79
28/05/2019	45
28/05/2019	36
29/05/2019	92
29/05/2019	23
29/05/2019	78
29/05/2019	72
30/05/2019	43
30/05/2019	98
30/05/2019	83
30/05/2019	24
31/05/2019	54
31/05/2019	64
31/05/2019	49
31/05/2019	92
06/01/2019	86
06/01/2019	41
06/01/2019	57
06/01/2019	40
06/03/2019	04
06/03/2019	68
06/03/2019	18
06/03/2019	04
06/04/2019	62
06/04/2019	40
06/04/2019	54
06/04/2019	20
06/05/2019	68
06/05/2019	18
06/05/2019	63
06/05/2019	14
06/06/2019	71
06/06/2019	41
06/06/2019	34
06/06/2019	97
06/07/2019	51
06/07/2019	04
06/07/2019	00
06/07/2019	64
06/08/2019	97
06/08/2019	34
06/08/2019	60
06/08/2019	83
06/10/2019	11
06/10/2019	22
06/10/2019	01
06/10/2019	46
06/11/2019	54
06/11/2019	96
06/11/2019	75
06/11/2019	33
06/12/2019	75
06/12/2019	44
06/12/2019	91
06/12/2019	46
13/06/2019	82
13/06/2019	79
13/06/2019	99
13/06/2019	77
14/06/2019	58
14/06/2019	86
14/06/2019	47
14/06/2019	69
15/06/2019	53
15/06/2019	94
15/06/2019	24
15/06/2019	97
17/06/2019	23
17/06/2019	41
17/06/2019	51
17/06/2019	77
18/06/2019	49
18/06/2019	10
18/06/2019	32
18/06/2019	60
19/06/2019	29
19/06/2019	13
19/06/2019	70
19/06/2019	33
20/06/2019	84
20/06/2019	42
20/06/2019	04
21/06/2019	80
21/06/2019	26
21/06/2019	64
21/06/2019	93
22/06/2019	07
22/06/2019	96
22/06/2019	38
22/06/2019	97
24/06/2019	25
24/06/2019	91
24/06/2019	84
24/06/2019	84
25/06/2019	13
25/06/2019	19
25/06/2019	97
25/06/2019	36
26/06/2019	93
26/06/2019	22
26/06/2019	30
26/06/2019	88
27/06/2019	73
27/06/2019	09
27/06/2019	57
27/06/2019	60
28/06/2019	32
28/06/2019	64
28/06/2019	01
28/06/2019	41
29/06/2019	84
29/06/2019	24
29/06/2019	51
29/06/2019	59
07/01/2019	12
07/01/2019	40
07/01/2019	71
07/01/2019	95
07/02/2019	00
07/02/2019	30
07/02/2019	37
07/02/2019	64
07/03/2019	00
07/03/2019	09
07/03/2019	77
07/03/2019	48
07/04/2019	50
07/04/2019	37
07/04/2019	63
07/04/2019	12
07/05/2019	90
07/05/2019	27
07/05/2019	12
07/05/2019	76
07/06/2019	41
07/06/2019	48
07/06/2019	93
07/06/2019	41
07/08/2019	72
07/08/2019	06
07/08/2019	94
07/08/2019	32
07/09/2019	80
07/09/2019	18
07/09/2019	96
07/09/2019	94
07/10/2019	46
07/10/2019	06
07/10/2019	44
07/10/2019	15
07/11/2019	87
07/11/2019	58
07/11/2019	67
07/11/2019	34
07/12/2019	84
07/12/2019	50
07/12/2019	27
07/12/2019	18
13/07/2019	32
13/07/2019	04
13/07/2019	61
13/07/2019	97
15/07/2019	63
15/07/2019	77
